date,HU_exchange_rate,HU_price_with_tax_euro95,HU_price_with_tax_diesel,HU_price_with_tax_euro95_HUF,HU_price_with_tax_diesel_HUF,year,HU_consumption_euro95,HU_consumption_diesel,diesel_consumption_relative,gasoline_consumption_relative,fuel_price_HUF
2018-12-31,0.0031381931887763054,1.1972828,1.2409743999999998,381.7659637159999,395.7866483339999,2018,1428,3450,0.7072570725707257,0.2927429274292743,391.68219207436397
2019-12-31,0.003076295370442084,1.1715461224489796,1.2257210204081632,380.99328906326537,398.5600268163266,2019,1416,3617,0.718656864693026,0.28134313530697397,393.61774573976504
2020-12-31,0.0028510331360679314,1.022405,1.0555258,358.31787019800004,369.88710678200005,2020,1100,3223,0.7455470737913485,0.25445292620865145,366.94328067920105
2021-12-31,0.002793138747258463,1.2363522448979591,1.2482983673469388,442.7636365591836,447.0797810632653,2021,1240,3548,0.7410192147034252,0.25898078529657476,445.9619825701447
2022-12-31,0.0025610614460943215,1.2895458823529413,1.4781660784313726,504.55039007450995,580.4782064823531,2022,1393,3840,0.7338047009363654,0.2661952990636346,560.2665786864186
2023-12-31,0.0026184708448391504,1.5836482692307692,1.6188419230769229,605.167379196154,619.034580573077,2023,1393,3840,0.7338047009363654,0.2661952990636346,615.3431967553713
