source_year,energy_consumed,type,year,scenario
,0.17703422189418375,elec,2020,observed
,0.24281367976703525,elec,2021,observed
,0.32103064525607206,elec,2022,observed
,0.27525338080718,elec,2023,observed
,0.19553448931766612,elec,2024,observed
,0.10940431009382832,lowcarbon_elec,2020,observed
,0.15402862234529383,lowcarbon_elec,2021,observed
,0.2105810297417555,lowcarbon_elec,2022,observed
,0.1959010548087137,lowcarbon_elec,2023,observed
,0.14426942284124286,lowcarbon_elec,2024,observed
,0.8229657781058163,fossil,2020,observed
,0.7571863202329647,fossil,2021,observed
,0.6789693547439279,fossil,2022,observed
,0.72474661919282,fossil,2023,observed
,0.8044655106823339,fossil,2024,observed
,0.18545999401593907,elec,2014,historical
,0.814540005984061,fossil,2014,historical
,0.1186969202939712,lowcarbon_elec,2014,historical
,0.1841441358503772,elec,2015,historical
,0.8158558641496227,fossil,2015,historical
,0.11565927424825867,lowcarbon_elec,2015,historical
,0.1884830999910152,elec,2016,historical
,0.8115169000089848,fossil,2016,historical
,0.11410677006984295,lowcarbon_elec,2016,historical
,0.18410412657773637,elec,2017,historical
,0.8158958734222637,fossil,2017,historical
,0.10950057103256619,lowcarbon_elec,2017,historical
,0.18326727929335823,elec,2018,historical
,0.8167327207066417,fossil,2018,historical
,0.11150427289299487,lowcarbon_elec,2018,historical
,0.1855844692106192,elec,2019,historical
,0.8144155307893808,fossil,2019,historical
,0.1136352978042852,lowcarbon_elec,2019,historical
,0.1888112187642207,elec,2020,historical
,0.8111887812357793,fossil,2020,historical
,0.11668230529587291,lowcarbon_elec,2020,historical
,0.2681005543046579,elec,2025,all_years
,0.2055459001482155,lowcarbon_elec,2025,all_years
,0.4701466426771336,fossil,2025,all_years
,0.2984059644655634,elec,2026,all_years
,0.23824084686359592,lowcarbon_elec,2026,all_years
,0.43984123251622803,fossil,2026,all_years
,0.30664164037867037,elec,2027,all_years
,0.25453768956838746,lowcarbon_elec,2027,all_years
,0.43160555660312105,fossil,2027,all_years
,0.31203826843355137,elec,2028,all_years
,0.2689100836302092,lowcarbon_elec,2028,all_years
,0.4262089285482401,fossil,2028,all_years
,0.31574196079403943,elec,2029,all_years
,0.28211204343326884,lowcarbon_elec,2029,all_years
,0.422505236187752,fossil,2029,all_years
,0.32100926231187926,elec,2030,all_years
,0.2969954843950872,lowcarbon_elec,2030,all_years
,0.4172379346699121,fossil,2030,all_years
,0.3273163674771538,elec,2031,all_years
,0.31320789517231906,lowcarbon_elec,2031,all_years
,0.41093082950463755,fossil,2031,all_years
,0.3328568562505512,elec,2032,all_years
,0.32906234530129247,lowcarbon_elec,2032,all_years
,0.4053903407312402,fossil,2032,all_years
,0.33971251643858186,elec,2033,all_years
,0.33971251643858186,lowcarbon_elec,2033,all_years
,0.3985346805432095,fossil,2033,all_years
,0.34460902255046794,elec,2034,all_years
,0.34460902255046794,lowcarbon_elec,2034,all_years
,0.3936381744313235,fossil,2034,all_years
,0.3478453461207308,elec,2035,all_years
,0.3478453461207308,lowcarbon_elec,2035,all_years
,0.39040185086106066,fossil,2035,all_years
,0.3514116777471688,elec,2036,all_years
,0.3514116777471688,lowcarbon_elec,2036,all_years
,0.3868355192346226,fossil,2036,all_years
,0.3533115831273453,elec,2037,all_years
,0.3533115831273453,lowcarbon_elec,2037,all_years
,0.38493561385444613,fossil,2037,all_years
,0.3554567007777811,elec,2038,all_years
,0.3554567007777811,lowcarbon_elec,2038,all_years
,0.3827904962040103,fossil,2038,all_years
,0.3576947494351189,elec,2039,all_years
,0.3576947494351189,lowcarbon_elec,2039,all_years
,0.3805524475466725,fossil,2039,all_years
,0.35908910930663507,elec,2040,all_years
,0.35908910930663507,lowcarbon_elec,2040,all_years
,0.3791580876751563,fossil,2040,all_years
,0.36066175155781843,elec,2041,all_years
,0.36066175155781843,lowcarbon_elec,2041,all_years
,0.377585445423973,fossil,2041,all_years
,0.36242288724160016,elec,2042,all_years
,0.36242288724160016,lowcarbon_elec,2042,all_years
,0.37582430974019126,fossil,2042,all_years
,0.36438529843861206,elec,2043,all_years
,0.36438529843861206,lowcarbon_elec,2043,all_years
,0.3738618985431794,fossil,2043,all_years
,0.3659083428240115,elec,2044,all_years
,0.3659083428240115,lowcarbon_elec,2044,all_years
,0.3723388541577799,fossil,2044,all_years
,0.3665217923993757,elec,2045,all_years
,0.3665217923993757,lowcarbon_elec,2045,all_years
,0.3717254045824157,fossil,2045,all_years
,0.3671903988242234,elec,2046,all_years
,0.3671903988242234,lowcarbon_elec,2046,all_years
,0.3710567981575681,fossil,2046,all_years
,0.36791505332783525,elec,2047,all_years
,0.36791505332783525,lowcarbon_elec,2047,all_years
,0.3703321436539562,fossil,2047,all_years
,0.3686970544827784,elec,2048,all_years
,0.3686970544827784,lowcarbon_elec,2048,all_years
